customer_id,age,gender,city,acquisition_channel,subscription_plan,payment_method,signup_date,tenure_months,orders_count,monthly_spend,discount_usage_rate,support_tickets,satisfaction_score,last_order_date,churn,recency_days,orders_per_month,support_tickets_per_month
178303,23.0,Male,Ahmedabad,Referral,Standard,Wallet,2023-10-12,27,7,14545.09,0.666,1,5,2025-09-21,0,100,0.25925925925925924,0.037037037037037035
166465,48.0,Male,Mumbai,Social Media,Premium,Debit Card,2023-12-14,24,2,4134.45,0.173,3,4,2025-11-29,0,31,0.08333333333333333,0.125
193228,31.0,Female,Delhi,Paid Ads,Basic,Debit Card,2024-02-25,22,1,776.62,0.499,0,5,2025-05-21,0,223,0.045454545454545456,0.0
101748,46.0,Female,Pune,Social Media,Basic,Wallet,2024-07-18,17,1,1001.58,0.437,1,4,2025-12-23,1,7,0.058823529411764705,0.058823529411764705
180005,37.0,Female,Bangalore,Organic,Basic,Debit Card,2023-11-16,25,2,2383.86,0.629,5,2,2025-09-20,1,101,0.08,0.2
119261,43.0,Female,Hyderabad,Organic,Standard,UPI,2024-09-21,15,2,1963.49,0.395,0,5,2025-12-05,0,25,0.13333333333333333,0.0
126830,55.0,Female,Ahmedabad,Paid Ads,Standard,Debit Card,2024-01-05,24,8,7905.86,0.571,2,5,2025-06-19,0,194,0.3333333333333333,0.08333333333333333
180313,23.0,Male,Bangalore,Paid Ads,Standard,UPI,2022-08-08,41,1,707.5,0.321,1,4,2025-09-07,0,114,0.024390243902439025,0.024390243902439025
118568,24.0,Female,Delhi,Paid Ads,Standard,Credit Card,2023-12-09,25,2,1426.7,0.039,0,5,2025-12-06,0,24,0.08,0.0
131083,49.0,Male,Mumbai,Organic,Premium,UPI,2021-01-20,60,3,5440.6,0.671,0,5,2025-10-25,0,66,0.05,0.0
124142,45.0,Female,Pune,Organic,Basic,UPI,2022-03-16,46,3,2915.63,0.744,1,5,2025-10-27,0,64,0.06521739130434782,0.021739130434782608
195216,40.0,Male,Delhi,Referral,Premium,Debit Card,2023-09-30,27,2,3377.83,0.307,0,4,2025-08-31,0,121,0.07407407407407407,0.0
118847,53.0,Female,Bangalore,Organic,Basic,Debit Card,2023-03-21,33,1,878.69,0.83,2,4,2025-10-10,0,81,0.030303030303030304,0.06060606060606061
102350,52.0,Male,Delhi,Referral,Standard,UPI,2024-02-04,23,3,659.1,0.352,1,5,2025-12-30,0,0,0.13043478260869565,0.043478260869565216
120197,40.0,Female,Pune,Organic,Basic,UPI,2023-11-21,25,1,802.23,0.338,0,4,2025-07-24,0,159,0.04,0.0
143192,27.0,Female,Mumbai,Social Media,Standard,UPI,2024-02-17,22,2,1472.83,0.658,1,3,2025-07-06,1,177,0.09090909090909091,0.045454545454545456
165288,58.0,Male,Pune,Organic,Premium,Wallet,2025-06-05,6,1,1867.33,0.22,0,5,2025-08-01,0,151,0.16666666666666666,0.0
107733,30.0,Female,Hyderabad,Organic,Basic,Credit Card,2022-06-07,43,3,2825.37,0.587,1,4,2025-10-10,0,81,0.06976744186046512,0.023255813953488372
179604,32.0,Male,Mumbai,Referral,Premium,Debit Card,2024-11-28,13,8,9839.48,0.588,1,4,2025-10-19,0,72,0.6153846153846154,0.07692307692307693
115207,55.0,Female,Pune,Paid Ads,Premium,Net Banking,2024-04-29,20,6,16649.98,0.275,1,5,2025-12-04,0,26,0.3,0.05
134431,68.0,Female,Ahmedabad,Email Campaign,Premium,Credit Card,2023-02-21,34,5,15887.71,0.469,4,4,2025-08-23,0,129,0.14705882352941177,0.11764705882352941
158555,18.0,Male,Mumbai,Paid Ads,Basic,UPI,2025-04-05,9,2,2746.7,0.672,1,3,2025-11-08,1,52,0.2222222222222222,0.1111111111111111
196688,57.0,Female,Delhi,Organic,Standard,Debit Card,2025-01-15,11,3,3647.78,0.169,1,5,2025-06-29,0,184,0.2727272727272727,0.09090909090909091
129888,36.0,Female,Kolkata,Email Campaign,Standard,Debit Card,2023-09-22,27,3,4013.06,0.366,0,5,2025-06-13,0,200,0.1111111111111111,0.0
158030,59.0,Female,Ahmedabad,Paid Ads,Basic,Wallet,2024-04-06,21,2,454.02,0.816,1,4,2025-05-28,1,216,0.09523809523809523,0.047619047619047616
161209,27.0,Male,Mumbai,Paid Ads,Premium,Credit Card,2022-10-10,39,5,11211.31,0.196,1,4,2025-08-24,0,128,0.1282051282051282,0.02564102564102564
182881,68.0,Male,Mumbai,Paid Ads,Standard,Credit Card,2022-05-30,43,4,1684.98,0.653,1,4,2025-11-09,0,51,0.09302325581395349,0.023255813953488372
